[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'F')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'F')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'F')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'F')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'G')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '02', 'G')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '03', 'G')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '04', 'G')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'G')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'G')]
[WAR][HORA: 01:01:09][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'G')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'G')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'G')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'G')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '02', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '03', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '04', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'H')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'I')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '02', 'I')]
[WAR][HORA: 01:01:10][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '03', 'I')]
